company_id,type,rule_id,text,confidence_pct
ADANIPORTS,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 1.02x.,75.6
ADANIPORTS,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
ADANIPORTS,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.21x.,64.5
ADANIPORTS,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
ADANIPOWER,PRO,PRO_01,Company has strong Return on Equity of 37.2% (≥15%).,93.3
ADANIPOWER,PRO,PRO_02,Company has strong Return on Capital Employed of 25.8% (≥15%).,76.2
ADANIPOWER,PRO,PRO_04,Company generates positive Free Cash Flow of ₹17651 Cr.,79.7
ADANIPOWER,PRO,PRO_05,Company has delivered good revenue growth of 16.1% CAGR over last 5 years.,71.1
ADANIPOWER,PRO,PRO_07,Company maintains a healthy net profit margin of 41.4%.,93.6
ADANIPOWER,PRO,PRO_09,Company has strong interest coverage ratio of 7.1x.,63.2
ADANIPOWER,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 0.51x.,60.3
ADANIPOWER,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
ADANIPOWER,CON,CON_09,"Company has not paid dividends, offering no income return to shareholders.",65.0
ADANIPOWER,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
AMBUJACEM,PRO,PRO_03,Company is almost debt free.,90.0
AMBUJACEM,PRO,PRO_06,Company has delivered strong profit growth of 11.2% CAGR over last 5 years.,63.8
AMBUJACEM,PRO,PRO_09,Company has strong interest coverage ratio of 22.4x.,86.1
AMBUJACEM,PRO,PRO_10,Company operates with a conservative debt-to-equity ratio of 0.02.,79.2
AMBUJACEM,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
AMBUJACEM,CON,CON_01,Company has low Return on Equity of 9.4% (<10%).,61.2
AMBUJACEM,CON,CON_04,Company has negative Free Cash Flow of ₹-3295 Cr.,63.3
AMBUJACEM,CON,CON_05,Company has weak revenue growth of 4.1% CAGR over last 5 years.,63.5
AMBUJACEM,CON,CON_12,Company's FCF Conversion of -0.70x suggests poor cash realisation from profits.,67.0
AMBUJACEM,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
APOLLOHOSP,PRO,PRO_04,Company generates positive Free Cash Flow of ₹383 Cr.,62.4
APOLLOHOSP,PRO,PRO_05,Company has delivered good revenue growth of 14.7% CAGR over last 5 years.,69.0
APOLLOHOSP,PRO,PRO_06,Company has delivered strong profit growth of 36.1% CAGR over last 5 years.,100.0
APOLLOHOSP,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 26.0%.,64.8
APOLLOHOSP,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
APOLLOHOSP,CON,CON_07,Company operates on thin net profit margins of 4.9%.,62.4
APOLLOHOSP,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
ASIANPAINT,PRO,PRO_01,Company has strong Return on Equity of 30.8% (≥15%).,83.8
ASIANPAINT,PRO,PRO_02,Company has strong Return on Capital Employed of 36.8% (≥15%).,92.7
ASIANPAINT,PRO,PRO_04,Company generates positive Free Cash Flow of ₹3556 Cr.,65.6
ASIANPAINT,PRO,PRO_05,Company has delivered good revenue growth of 13.0% CAGR over last 5 years.,66.5
ASIANPAINT,PRO,PRO_06,Company has delivered strong profit growth of 20.3% CAGR over last 5 years.,77.4
ASIANPAINT,PRO,PRO_07,Company maintains a healthy net profit margin of 15.7%.,62.8
ASIANPAINT,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 58.0%.,90.4
ASIANPAINT,PRO,PRO_09,Company has strong interest coverage ratio of 36.8x.,100.0
ASIANPAINT,PRO,PRO_10,Company operates with a conservative debt-to-equity ratio of 0.14.,74.4
ASIANPAINT,PRO,PRO_11,Company efficiently utilises assets with an Asset Turnover ratio of 1.20x.,64.0
ASIANPAINT,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 0.64x.,64.2
ASIANPAINT,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
ASIANPAINT,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BAJAJ-AUTO,PRO,PRO_01,Company has strong Return on Equity of 24.9% (≥15%).,74.8
BAJAJ-AUTO,PRO,PRO_02,Company has strong Return on Capital Employed of 27.9% (≥15%).,79.3
BAJAJ-AUTO,PRO,PRO_04,Company generates positive Free Cash Flow of ₹6486 Cr.,68.5
BAJAJ-AUTO,PRO,PRO_07,Company maintains a healthy net profit margin of 17.2%.,64.6
BAJAJ-AUTO,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 29.0%.,67.2
BAJAJ-AUTO,PRO,PRO_09,Company has strong interest coverage ratio of 168.3x.,100.0
BAJAJ-AUTO,PRO,PRO_10,Company operates with a conservative debt-to-equity ratio of 0.17.,73.2
BAJAJ-AUTO,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 0.84x.,70.2
BAJAJ-AUTO,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BAJAJ-AUTO,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
AXISBANK,PRO,PRO_01,Company has strong Return on Equity of 15.8% (≥15%).,61.2
AXISBANK,PRO,PRO_05,Company has delivered good revenue growth of 14.7% CAGR over last 5 years.,69.1
AXISBANK,PRO,PRO_06,Company has delivered strong profit growth of 39.7% CAGR over last 5 years.,100.0
AXISBANK,PRO,PRO_07,Company maintains a healthy net profit margin of 22.7%.,71.3
AXISBANK,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
AXISBANK,CON,CON_02,Company has low Return on Capital Employed of 0.0% (<10%).,80.0
AXISBANK,CON,CON_04,Company has negative Free Cash Flow of ₹-14556 Cr.,74.6
AXISBANK,CON,CON_10,Company has elevated debt-to-equity ratio of 8.25x.,91.2
AXISBANK,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.07x.,71.5
AXISBANK,CON,CON_12,Company's FCF Conversion of -0.59x suggests poor cash realisation from profits.,65.9
AXISBANK,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BAJAJFINSV,PRO,PRO_01,Company has strong Return on Equity of 22.8% (≥15%).,71.7
BAJAJFINSV,PRO,PRO_05,Company has delivered good revenue growth of 21.0% CAGR over last 5 years.,78.5
BAJAJFINSV,PRO,PRO_06,Company has delivered strong profit growth of 23.8% CAGR over last 5 years.,82.6
BAJAJFINSV,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BAJAJFINSV,CON,CON_02,Company has low Return on Capital Employed of 0.0% (<10%).,80.0
BAJAJFINSV,CON,CON_04,Company has negative Free Cash Flow of ₹-79634 Cr.,90.0
BAJAJFINSV,CON,CON_10,Company has elevated debt-to-equity ratio of 4.66x.,73.3
BAJAJFINSV,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.18x.,66.0
BAJAJFINSV,CON,CON_12,Company's FCF Conversion of -5.11x suggests poor cash realisation from profits.,100.0
BAJAJFINSV,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BAJAJHLDNG,PRO,PRO_03,Company is almost debt free.,90.0
BAJAJHLDNG,PRO,PRO_04,Company generates positive Free Cash Flow of ₹1469 Cr.,63.5
BAJAJHLDNG,PRO,PRO_05,Company has delivered good revenue growth of 31.6% CAGR over last 5 years.,94.4
BAJAJHLDNG,PRO,PRO_06,Company has delivered strong profit growth of 19.3% CAGR over last 5 years.,76.0
BAJAJHLDNG,PRO,PRO_07,Company maintains a healthy net profit margin of 432.7%.,100.0
BAJAJHLDNG,PRO,PRO_09,Company has strong interest coverage ratio of 3747.5x.,100.0
BAJAJHLDNG,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BAJAJHLDNG,CON,CON_02,Company has low Return on Capital Employed of 0.0% (<10%).,80.0
BAJAJHLDNG,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.02x.,74.0
BAJAJHLDNG,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BAJFINANCE,PRO,PRO_01,Company has strong Return on Equity of 16.6% (≥15%).,62.5
BAJFINANCE,PRO,PRO_05,Company has delivered good revenue growth of 24.4% CAGR over last 5 years.,83.5
BAJFINANCE,PRO,PRO_06,Company has delivered strong profit growth of 29.3% CAGR over last 5 years.,91.0
BAJFINANCE,PRO,PRO_07,Company maintains a healthy net profit margin of 26.3%.,75.5
BAJFINANCE,PRO,PRO_09,Company has strong interest coverage ratio of 3219.3x.,100.0
BAJFINANCE,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BAJFINANCE,CON,CON_02,Company has low Return on Capital Employed of 0.0% (<10%).,80.0
BAJFINANCE,CON,CON_04,Company has negative Free Cash Flow of ₹-79931 Cr.,90.0
BAJFINANCE,CON,CON_10,Company has elevated debt-to-equity ratio of 3.74x.,68.7
BAJFINANCE,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.13x.,68.5
BAJFINANCE,CON,CON_12,Company's FCF Conversion of -5.53x suggests poor cash realisation from profits.,100.0
BAJFINANCE,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BANKBARODA,PRO,PRO_01,Company has strong Return on Equity of 15.8% (≥15%).,61.1
BANKBARODA,PRO,PRO_05,Company has delivered good revenue growth of 17.5% CAGR over last 5 years.,73.2
BANKBARODA,PRO,PRO_06,Company has delivered strong profit growth of 74.5% CAGR over last 5 years.,100.0
BANKBARODA,PRO,PRO_07,Company maintains a healthy net profit margin of 15.9%.,63.1
BANKBARODA,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 21.0%.,60.8
BANKBARODA,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BANKBARODA,CON,CON_02,Company has low Return on Capital Employed of 0.0% (<10%).,80.0
BANKBARODA,CON,CON_04,Company has negative Free Cash Flow of ₹-7559 Cr.,67.6
BANKBARODA,CON,CON_10,Company has elevated debt-to-equity ratio of 12.14x.,100.0
BANKBARODA,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.07x.,71.5
BANKBARODA,CON,CON_12,Company's FCF Conversion of -0.40x suggests poor cash realisation from profits.,64.0
BANKBARODA,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BHARTIARTL,PRO,PRO_04,Company generates positive Free Cash Flow of ₹27809 Cr.,89.8
BHARTIARTL,PRO,PRO_05,Company has delivered good revenue growth of 13.2% CAGR over last 5 years.,66.8
BHARTIARTL,PRO,PRO_06,Company has delivered strong profit growth of 38.4% CAGR over last 5 years.,100.0
BHARTIARTL,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 62.0%.,93.6
BHARTIARTL,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 3.25x.,100.0
BHARTIARTL,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BHARTIARTL,CON,CON_01,Company has low Return on Equity of 9.8% (<10%).,60.3
BHARTIARTL,CON,CON_03,Company carries high financial leverage with D/E of 2.59x.,63.0
BHARTIARTL,CON,CON_10,Company has elevated debt-to-equity ratio of 2.59x.,63.0
BHARTIARTL,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BEL,PRO,PRO_01,Company has strong Return on Equity of 4379.1% (≥15%).,100.0
BEL,PRO,PRO_02,Company has strong Return on Capital Employed of 3123.1% (≥15%).,100.0
BEL,PRO,PRO_05,Company has delivered good revenue growth of 10.8% CAGR over last 5 years.,63.1
BEL,PRO,PRO_06,Company has delivered strong profit growth of 16.1% CAGR over last 5 years.,71.2
BEL,PRO,PRO_07,Company maintains a healthy net profit margin of 19.7%.,67.6
BEL,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 40.0%.,76.0
BEL,PRO,PRO_09,Company has strong interest coverage ratio of 439.8x.,100.0
BEL,PRO,PRO_11,Company efficiently utilises assets with an Asset Turnover ratio of 90.08x.,100.0
BEL,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BEL,CON,CON_04,Company has negative Free Cash Flow of ₹-1265 Cr.,61.3
BEL,CON,CON_12,Company's FCF Conversion of -0.32x suggests poor cash realisation from profits.,63.2
BEL,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BHEL,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 31.0%.,68.8
BHEL,PRO,PRO_10,Company operates with a conservative debt-to-equity ratio of 0.38.,64.8
BHEL,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BHEL,CON,CON_01,Company has low Return on Equity of 1.2% (<10%).,77.7
BHEL,CON,CON_02,Company has low Return on Capital Employed of 3.2% (<10%).,73.6
BHEL,CON,CON_04,Company has negative Free Cash Flow of ₹-2382 Cr.,62.4
BHEL,CON,CON_06,Company's net profit has declined at -22.4% CAGR over last 5 years.,100.0
BHEL,CON,CON_07,Company operates on thin net profit margins of 1.2%.,77.3
BHEL,CON,CON_08,"Company has a low interest coverage ratio of 1.3x, indicating potential debt service risk.",72.1
BHEL,CON,CON_12,Company's FCF Conversion of -17.89x suggests poor cash realisation from profits.,100.0
BHEL,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BOSCHLTD,PRO,PRO_01,Company has strong Return on Equity of 19.6% (≥15%).,66.8
BOSCHLTD,PRO,PRO_02,Company has strong Return on Capital Employed of 25.3% (≥15%).,75.5
BOSCHLTD,PRO,PRO_03,Company is almost debt free.,90.0
BOSCHLTD,PRO,PRO_04,Company generates positive Free Cash Flow of ₹1536 Cr.,63.5
BOSCHLTD,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 44.0%.,79.2
BOSCHLTD,PRO,PRO_09,Company has strong interest coverage ratio of 63.4x.,100.0
BOSCHLTD,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BOSCHLTD,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BPCL,PRO,PRO_01,Company has strong Return on Equity of 34.8% (≥15%).,89.7
BPCL,PRO,PRO_02,Company has strong Return on Capital Employed of 29.7% (≥15%).,82.0
BPCL,PRO,PRO_04,Company generates positive Free Cash Flow of ₹25415 Cr.,87.4
BPCL,PRO,PRO_06,Company has delivered strong profit growth of 25.8% CAGR over last 5 years.,85.7
BPCL,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 33.0%.,70.4
BPCL,PRO,PRO_09,Company has strong interest coverage ratio of 9.7x.,67.1
BPCL,PRO,PRO_11,Company efficiently utilises assets with an Asset Turnover ratio of 2.12x.,82.4
BPCL,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 0.95x.,73.5
BPCL,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BPCL,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
BRITANNIA,PRO,PRO_01,Company has strong Return on Equity of 66.5% (≥15%).,100.0
BRITANNIA,PRO,PRO_02,Company has strong Return on Capital Employed of 51.6% (≥15%).,100.0
BRITANNIA,PRO,PRO_04,Company generates positive Free Cash Flow of ₹3050 Cr.,65.0
BRITANNIA,PRO,PRO_06,Company has delivered strong profit growth of 13.1% CAGR over last 5 years.,66.6
BRITANNIA,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 83.0%.,100.0
BRITANNIA,PRO,PRO_09,Company has strong interest coverage ratio of 18.8x.,80.6
BRITANNIA,PRO,PRO_11,Company efficiently utilises assets with an Asset Turnover ratio of 1.77x.,75.4
BRITANNIA,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 0.98x.,74.4
BRITANNIA,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
BRITANNIA,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
CANBK,PRO,PRO_01,Company has strong Return on Equity of 16.7% (≥15%).,62.6
CANBK,PRO,PRO_04,Company generates positive Free Cash Flow of ₹13296 Cr.,75.3
CANBK,PRO,PRO_05,Company has delivered good revenue growth of 18.2% CAGR over last 5 years.,74.3
CANBK,PRO,PRO_06,Company has delivered strong profit growth of 85.8% CAGR over last 5 years.,100.0
CANBK,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 0.86x.,70.8
CANBK,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
CANBK,CON,CON_02,Company has low Return on Capital Employed of 0.0% (<10%).,80.0
CANBK,CON,CON_10,Company has elevated debt-to-equity ratio of 14.87x.,100.0
CANBK,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.07x.,71.5
CANBK,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
CHOLAFIN,PRO,PRO_01,Company has strong Return on Equity of 16.0% (≥15%).,61.5
CHOLAFIN,PRO,PRO_05,Company has delivered good revenue growth of 21.9% CAGR over last 5 years.,79.9
CHOLAFIN,PRO,PRO_06,Company has delivered strong profit growth of 23.4% CAGR over last 5 years.,82.0
CHOLAFIN,PRO,PRO_07,Company maintains a healthy net profit margin of 17.9%.,65.4
CHOLAFIN,PRO,PRO_09,Company has strong interest coverage ratio of 19.1x.,81.1
CHOLAFIN,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
CHOLAFIN,CON,CON_02,Company has low Return on Capital Employed of 0.0% (<10%).,80.0
CHOLAFIN,CON,CON_04,Company has negative Free Cash Flow of ₹-38538 Cr.,90.0
CHOLAFIN,CON,CON_10,Company has elevated debt-to-equity ratio of 7.38x.,86.9
CHOLAFIN,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.11x.,69.5
CHOLAFIN,CON,CON_12,Company's FCF Conversion of -11.27x suggests poor cash realisation from profits.,100.0
CHOLAFIN,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
CIPLA,PRO,PRO_02,Company has strong Return on Capital Employed of 21.7% (≥15%).,70.0
CIPLA,PRO,PRO_03,Company is almost debt free.,90.0
CIPLA,PRO,PRO_04,Company generates positive Free Cash Flow of ₹1152 Cr.,63.2
CIPLA,PRO,PRO_06,Company has delivered strong profit growth of 22.7% CAGR over last 5 years.,81.1
CIPLA,PRO,PRO_07,Company maintains a healthy net profit margin of 16.1%.,63.3
CIPLA,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 25.0%.,64.0
CIPLA,PRO,PRO_09,Company has strong interest coverage ratio of 11.3x.,69.5
CIPLA,PRO,PRO_10,Company operates with a conservative debt-to-equity ratio of 0.02.,79.2
CIPLA,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
CIPLA,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
COALINDIA,PRO,PRO_01,Company has strong Return on Equity of 38.9% (≥15%).,95.8
COALINDIA,PRO,PRO_02,Company has strong Return on Capital Employed of 55.0% (≥15%).,100.0
COALINDIA,PRO,PRO_03,Company is almost debt free.,90.0
COALINDIA,PRO,PRO_04,Company generates positive Free Cash Flow of ₹13617 Cr.,75.6
COALINDIA,PRO,PRO_06,Company has delivered strong profit growth of 16.4% CAGR over last 5 years.,71.6
COALINDIA,PRO,PRO_07,Company maintains a healthy net profit margin of 26.3%.,75.5
COALINDIA,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 42.0%.,77.6
COALINDIA,PRO,PRO_09,Company has strong interest coverage ratio of 6.8x.,62.7
COALINDIA,PRO,PRO_10,Company operates with a conservative debt-to-equity ratio of 0.08.,76.8
COALINDIA,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
COALINDIA,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
DABUR,PRO,PRO_01,Company has strong Return on Equity of 17.5% (≥15%).,63.7
DABUR,PRO,PRO_02,Company has strong Return on Capital Employed of 20.5% (≥15%).,68.2
DABUR,PRO,PRO_04,Company generates positive Free Cash Flow of ₹1042 Cr.,63.0
DABUR,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 53.0%.,86.4
DABUR,PRO,PRO_09,Company has strong interest coverage ratio of 20.0x.,82.5
DABUR,PRO,PRO_10,Company operates with a conservative debt-to-equity ratio of 0.17.,73.2
DABUR,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 0.58x.,62.4
DABUR,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
DABUR,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
DIVISLAB,PRO,PRO_02,Company has strong Return on Capital Employed of 15.8% (≥15%).,61.2
DIVISLAB,PRO,PRO_03,Company is almost debt free.,90.0
DIVISLAB,PRO,PRO_04,Company generates positive Free Cash Flow of ₹992 Cr.,63.0
DIVISLAB,PRO,PRO_07,Company maintains a healthy net profit margin of 20.4%.,68.5
DIVISLAB,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 50.0%.,84.0
DIVISLAB,PRO,PRO_09,Company has strong interest coverage ratio of 541.8x.,100.0
DIVISLAB,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 0.62x.,63.6
DIVISLAB,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
DIVISLAB,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
DLF,PRO,PRO_04,Company generates positive Free Cash Flow of ₹1010 Cr.,63.0
DLF,PRO,PRO_06,Company has delivered strong profit growth of 15.7% CAGR over last 5 years.,70.5
DLF,PRO,PRO_07,Company maintains a healthy net profit margin of 42.4%.,94.9
DLF,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 45.0%.,80.0
DLF,PRO,PRO_09,Company has strong interest coverage ratio of 7.0x.,63.1
DLF,PRO,PRO_10,Company operates with a conservative debt-to-equity ratio of 0.11.,75.6
DLF,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
DLF,CON,CON_01,Company has low Return on Equity of 6.8% (<10%).,66.5
DLF,CON,CON_02,Company has low Return on Capital Employed of 5.6% (<10%).,68.7
DLF,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.10x.,70.0
DLF,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
DMART,PRO,PRO_02,Company has strong Return on Capital Employed of 16.9% (≥15%).,62.8
DMART,PRO,PRO_03,Company is almost debt free.,90.0
DMART,PRO,PRO_04,Company generates positive Free Cash Flow of ₹278 Cr.,62.3
